,dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
264,2021-11-17,1064.94,660,kcal,175,60,15,8
265,2021-11-18,915.483,660,kcal,174,60,15,8
266,2021-11-19,1156.66,660,kcal,191,60,14,8
267,2021-11-20,1266.06,660,kcal,215,60,16,8
268,2021-11-21,1411.23,660,kcal,266,60,17,8
269,2021-11-22,1082.49,660,kcal,179,60,16,8
270,2021-11-23,1232.47,660,kcal,217,60,16,8
271,2021-11-24,1249.31,660,kcal,222,60,13,8
272,2021-11-25,1124.01,660,kcal,236,60,15,8
273,2021-11-26,920.33,660,kcal,189,60,12,8
274,2021-11-27,1238.13,660,kcal,206,60,15,8
275,2021-11-28,1203.5,660,kcal,237,60,16,8
276,2021-11-29,1256.16,660,kcal,222,60,17,8
277,2021-11-30,1194.78,660,kcal,187,60,18,8
278,2021-12-01,1288.76,660,kcal,219,60,16,8
279,2021-12-02,1034.35,660,kcal,192,60,15,8
280,2021-12-03,1243.53,660,kcal,217,60,12,8
281,2021-12-04,1453.5,660,kcal,259,60,17,8
282,2021-12-05,1487.86,660,kcal,289,60,16,8
283,2021-12-06,1119.0,660,kcal,199,60,17,8
284,2021-12-07,1057.57,660,kcal,195,60,16,8
285,2021-12-08,1151.79,660,kcal,201,60,16,8
286,2021-12-09,941.077,660,kcal,177,60,17,8
287,2021-12-10,1242.97,660,kcal,233,60,17,8
288,2021-12-11,1479.5,660,kcal,356,60,16,8
289,2021-12-12,1372.73,660,kcal,278,60,16,8
290,2021-12-13,1024.65,660,kcal,193,60,16,8
291,2021-12-14,1134.23,660,kcal,183,60,17,8
292,2021-12-15,1164.41,660,kcal,219,60,15,8
293,2021-12-16,1069.0,660,kcal,204,60,15,8
294,2021-12-17,1181.35,660,kcal,227,60,14,8
295,2021-12-18,1468.36,660,kcal,297,60,17,8
296,2021-12-19,1291.05,660,kcal,277,60,15,8
297,2021-12-20,1382.94,660,kcal,265,60,17,8
298,2021-12-21,1280.09,660,kcal,263,60,14,8
299,2021-12-22,1401.0,660,kcal,276,60,16,8
300,2021-12-23,945.318,660,kcal,197,60,15,8
301,2021-12-24,1146.53,660,kcal,212,60,15,8
302,2021-12-25,1527.36,660,kcal,227,60,17,8
303,2021-12-26,1342.71,660,kcal,284,60,14,8
304,2021-12-27,1190.74,660,kcal,208,60,15,8
305,2021-12-28,1200.74,660,kcal,210,60,14,8
306,2021-12-29,1159.01,660,kcal,185,60,15,8
307,2021-12-30,1073.78,660,kcal,209,60,16,8
308,2021-12-31,1116.16,660,kcal,202,60,16,8
309,2022-01-01,1673.39,660,kcal,281,60,16,8
310,2022-01-02,1361.56,660,kcal,258,60,17,8
311,2022-01-03,1096.64,660,kcal,194,60,14,8
312,2022-01-04,1140.83,660,kcal,195,60,15,8
313,2022-01-05,1220.42,660,kcal,201,60,17,8
314,2022-01-06,1090.06,660,kcal,215,60,17,8
315,2022-01-07,1011.68,660,kcal,177,60,15,8
316,2022-01-08,1592.34,660,kcal,245,60,12,8
317,2022-01-09,1459.22,660,kcal,274,60,17,8
318,2022-01-10,986.691,660,kcal,187,60,16,8
319,2022-01-11,1329.65,660,kcal,211,60,17,8
320,2022-01-12,936.84,660,kcal,183,60,13,8
321,2022-01-13,1265.04,660,kcal,198,60,16,8
322,2022-01-14,976.561,660,kcal,175,60,16,8
323,2022-01-15,1522.11,660,kcal,273,60,15,8
324,2022-01-16,1291.58,660,kcal,226,60,17,8
325,2022-01-17,939.078,660,kcal,178,60,17,8
326,2022-01-18,1234.04,660,kcal,194,60,18,8
327,2022-01-19,1018.4,660,kcal,191,60,15,8
328,2022-01-20,1159.9,660,kcal,188,60,16,8
329,2022-01-21,1010.39,660,kcal,204,60,16,8
330,2022-01-22,1642.84,660,kcal,276,60,16,8
331,2022-01-23,1201.92,660,kcal,232,60,17,8
332,2022-01-24,818.867,660,kcal,145,60,15,8
333,2022-01-25,935.741,660,kcal,182,60,14,8
334,2022-01-26,1419.35,660,kcal,260,60,13,8
335,2022-01-27,1046.73,660,kcal,210,60,15,8
336,2022-01-28,1334.3,660,kcal,215,60,15,8
337,2022-01-29,991.559,660,kcal,185,60,16,8
338,2022-01-30,1392.49,660,kcal,232,60,15,8
339,2022-01-31,929.225,660,kcal,156,60,17,8
340,2022-02-01,1217.05,660,kcal,199,60,14,8
341,2022-02-02,835.472,660,kcal,153,60,14,8
342,2022-02-03,934.405,660,kcal,172,60,14,8
343,2022-02-04,1303.77,660,kcal,211,60,15,8
344,2022-02-05,1074.89,660,kcal,228,60,16,8
345,2022-02-06,1248.52,660,kcal,217,60,14,8
346,2022-02-07,826.346,660,kcal,161,60,15,8
347,2022-02-08,925.053,660,kcal,154,60,15,8
348,2022-02-09,1047.04,660,kcal,184,60,16,8
349,2022-02-10,852.886,660,kcal,153,60,13,8
350,2022-02-11,1182.95,660,kcal,197,60,13,8
351,2022-02-12,1169.91,660,kcal,232,60,16,8
352,2022-02-13,1515.86,660,kcal,258,60,17,8
353,2022-02-14,867.985,660,kcal,175,60,15,8
354,2022-02-15,980.885,660,kcal,157,60,16,8
355,2022-02-16,1185.73,660,kcal,202,60,16,8
356,2022-02-17,859.52,660,kcal,159,60,14,8
357,2022-02-18,1197.68,660,kcal,194,60,15,8
358,2022-02-19,1207.35,660,kcal,235,60,15,8
359,2022-02-20,1517.49,660,kcal,264,60,15,8
360,2022-02-21,938.822,660,kcal,173,60,17,8
361,2022-02-22,1127.35,660,kcal,175,60,17,8
362,2022-02-23,894.213,660,kcal,171,60,17,8
363,2022-02-24,866.467,660,kcal,168,60,16,8
364,2022-02-25,1229.32,660,kcal,197,60,17,8
365,2022-02-26,1238.08,660,kcal,261,60,16,8
366,2022-02-27,1614.91,660,kcal,271,60,16,8
367,2022-02-28,957.524,660,kcal,160,60,16,8
368,2022-03-01,1061.65,660,kcal,204,60,16,8
369,2022-03-02,1193.8,660,kcal,185,60,16,8
370,2022-03-03,1171.13,660,kcal,190,60,16,8
371,2022-03-04,930.558,660,kcal,185,60,17,8
372,2022-03-05,1280.09,660,kcal,253,60,17,8
373,2022-03-06,1327.95,660,kcal,251,60,13,8
374,2022-03-07,981.926,660,kcal,177,60,17,8
375,2022-03-08,1120.82,660,kcal,182,60,16,8
376,2022-03-09,1093.15,660,kcal,177,60,16,8
377,2022-03-10,1179.26,660,kcal,182,60,15,8
378,2022-03-11,1103.22,660,kcal,203,60,17,8
379,2022-03-12,1423.12,660,kcal,225,60,17,8
380,2022-03-13,1505.89,660,kcal,292,60,16,8
381,2022-03-14,1005.19,660,kcal,202,60,16,8
382,2022-03-15,1061.82,660,kcal,194,60,16,8
383,2022-03-16,1188.63,660,kcal,186,60,15,8
384,2022-03-17,1079.07,660,kcal,202,60,16,8
385,2022-03-18,1113.94,660,kcal,193,60,16,8
386,2022-03-19,1334.99,660,kcal,261,60,16,8
387,2022-03-20,1746.92,660,kcal,304,60,17,8
388,2022-03-21,1107.71,660,kcal,214,60,17,8
389,2022-03-22,1264.94,660,kcal,185,60,16,8
390,2022-03-23,1082.73,660,kcal,204,60,16,8
391,2022-03-24,1076.04,660,kcal,218,60,14,8
392,2022-03-25,848.774,660,kcal,159,60,15,8
393,2022-03-26,1704.7,660,kcal,316,60,17,8
394,2022-03-27,1529.33,660,kcal,288,60,16,8
395,2022-03-28,994.744,660,kcal,221,60,16,8
396,2022-03-29,1113.1,660,kcal,210,60,15,8
397,2022-03-30,1126.52,660,kcal,174,60,17,8
398,2022-03-31,979.854,660,kcal,185,60,16,8
399,2022-04-01,813.913,660,kcal,162,60,18,8
400,2022-04-02,993.171,660,kcal,196,60,18,8
401,2022-04-03,993.806,660,kcal,185,60,18,8
402,2022-04-04,1067.85,660,kcal,229,60,17,8
403,2022-04-05,1236.03,660,kcal,213,60,18,8
404,2022-04-06,1055.15,660,kcal,185,60,16,8
405,2022-04-07,1000.75,660,kcal,167,60,18,8
406,2022-04-08,789.83,660,kcal,121,60,14,8
407,2022-04-09,1321.98,660,kcal,248,60,16,8
408,2022-04-10,1014.81,660,kcal,189,60,11,8
409,2022-04-11,1304.39,660,kcal,236,60,17,8
410,2022-04-12,907.674,660,kcal,170,60,15,8
411,2022-04-13,980.422,660,kcal,165,60,17,8
412,2022-04-14,1131.97,660,kcal,215,60,17,8
413,2022-04-15,1189.74,660,kcal,223,60,17,8
414,2022-04-16,1724.4,660,kcal,310,60,16,8
415,2022-04-17,1435.42,660,kcal,310,60,16,8
416,2022-04-18,1510.12,660,kcal,284,60,16,8
417,2022-04-19,1027.5,660,kcal,202,60,13,8
418,2022-04-20,962.498,660,kcal,197,60,14,8
419,2022-04-21,1109.6,660,kcal,182,60,17,8
420,2022-04-22,1194.96,660,kcal,207,60,16,8
421,2022-04-23,1600.03,660,kcal,324,60,15,8
422,2022-04-24,1750.34,660,kcal,263,60,15,8
423,2022-04-25,1162.04,660,kcal,210,60,18,8
424,2022-04-26,1324.17,660,kcal,222,60,17,8
425,2022-04-27,1264.33,660,kcal,204,60,15,8
426,2022-04-28,1172.13,660,kcal,175,60,16,8
427,2022-04-29,1159.72,660,kcal,221,60,16,8
428,2022-04-30,1378.64,660,kcal,279,60,16,8
429,2022-05-01,1704.77,660,kcal,307,60,16,8
430,2022-05-02,1295.38,660,kcal,189,60,15,8
431,2022-05-03,1177.04,660,kcal,208,60,16,8
432,2022-05-04,1108.49,660,kcal,206,60,16,8
433,2022-05-05,1141.37,660,kcal,189,60,14,8
434,2022-05-06,1289.5,660,kcal,204,60,17,8
435,2022-05-07,1661.78,660,kcal,288,60,15,8
436,2022-05-08,2003.41,660,kcal,293,60,15,8
437,2022-05-09,1240.16,660,kcal,213,60,16,8
